city,CDP_response_year,most_sig_hazard,probability,magnitude,expected_intensity_change,expected_frequency_change,timeframe_expected_change,social_impact,assets_services_affected,vulnerable_populations
New York,2019,Extreme Precipitation,Medium High,Medium,Increasing,Increasing,Immediately,Population displacement; Increased resource demand; Fluctuating socio-economic conditions; Increased demand for public services,Public health; Residential; Water supply & sanitation,Persons with disabilities; Marginalized groups; Elderly; Unemployed persons; Children & youth; Persons living in sub-standard housing; Low-income households; Persons with chronic diseases
New York,2019,Extreme cold,Medium,Medium,Do not know,Do not know,Immediately,Increased demand for public services; Increased demand for healthcare services; Increased resource demand; Increased risk to already vulnerable populations,Energy; Transport; Public health,Elderly; Low-income households; Persons living in sub-standard housing; Persons with disabilities; Persons with chronic diseases; Unemployed persons; Marginalized groups; Children & youth
New York,2019,Extreme heat,High,High,Increasing,Increasing,Immediately,Increased incidence and prevalence of disease and illness; Increased resource demand; Increased conflict and/or crime; Increased demand for public services; Increased demand for healthcare services; Population displacement; Increased risk to already vulnerable populations; Fluctuating socio-economic conditions,Public health; Energy; Information & communications technology,Marginalized groups; Unemployed persons; Children & youth; Persons with chronic diseases; Persons living in sub-standard housing; Elderly; Low-income households; Persons with disabilities
New York,2019,Flood and sea level rise,High,High,Increasing,Increasing,Immediately,Loss of tax base to support public services; Loss of traditional jobs; Fluctuating socio-economic conditions; Population displacement; Increased resource demand; Increased risk to already vulnerable populations; Increased demand for healthcare services; Increased demand for public services,Energy; Water supply & sanitation; Transport,Persons living in sub-standard housing; Persons with chronic diseases; Unemployed persons; Marginalized groups; Elderly; Persons with disabilities; Children & youth; Low-income households
New York,2019,Flood and sea level rise,Medium High,Medium,Increasing,Increasing,Short-term (by 2025),Increased resource demand; Loss of tax base to support public services; Fluctuating socio-economic conditions; Increased risk to already vulnerable populations; Population displacement; Increased demand for public services,Residential; Public health; Commercial,Marginalized groups; Children & youth; Persons living in sub-standard housing; Low-income households; Elderly; Persons with disabilities; Women & girls; Unemployed persons; Persons with chronic diseases
Los Angeles,2019,Extreme Precipitation,High,High,Increasing,Do not know,Medium-term (2026-2050),Increased demand for public services,"Emergency services; Tourism; Water supply & sanitation; Environment, biodiversity, forestry; Land use planning",
Los Angeles,2019,Extreme heat,High,Medium High,Increasing,Increasing,Short-term (by 2025),Increased demand for public services; Increased demand for healthcare services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations,"Transport; Energy; Public health; Environment, biodiversity, forestry; Water supply & sanitation",
Los Angeles,2019,Water Scarcity,High,High,Increasing,Increasing,Medium-term (2026-2050),N/A,"Water supply & sanitation; Environment, biodiversity, forestry; Public health",
Los Angeles,2019,Wild fire,Medium High,Medium High,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services,"Environment, biodiversity, forestry; Public health",
Los Angeles,2019,Flood and sea level rise,Medium High,Medium High,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services,"Water supply & sanitation; Emergency services; Environment, biodiversity, forestry",
Los Angeles,2019,Flood and sea level rise,Medium High,Medium High,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services,"Environment, biodiversity, forestry; Land use planning; Water supply & sanitation",Low-income households; Elderly; Children & youth
Chicago,2019,Flood and sea level rise,Medium High,Medium High,Increasing,Increasing,N/A,N/A,Commercial; Residential; Transport,
Chicago,2019,Flood and sea level rise,Low,Medium,Increasing,Increasing,N/A,N/A,Public health; Residential; Commercial,
Chicago,2019,Extreme heat,Medium High,Medium Low,Increasing,Increasing,N/A,N/A,Public health; Other; Energy,
Chicago,2019,Extreme Precipitation,Medium High,Medium High,Increasing,Increasing,N/A,N/A,Water supply & sanitation; Residential; Commercial,
Chicago,2019,Storm and wind,Low,Medium Low,Increasing,Increasing,N/A,N/A,Residential; Transport; Commercial,
Chicago,2019,Extreme Precipitation,Medium High,Medium,Increasing,Increasing,N/A,N/A,Commercial; Society / community & culture; Education,
Houston,2019,Extreme heat,High,Medium,Increasing,Increasing,Immediately,Fluctuating socio-economic conditions; Increased risk to already vulnerable populations,Energy; Public health; Water supply & sanitation,Children & youth; Elderly; Low-income households; Persons living in sub-standard housing; Persons with chronic diseases; Persons with disabilities
Houston,2019,Water Scarcity,High,Medium,Increasing,Increasing,Immediately,Fluctuating socio-economic conditions,Food & agriculture; Transport; Water supply & sanitation,Persons with disabilities; Persons with chronic diseases; Elderly; Persons living in sub-standard housing; Children & youth; Low-income households
Houston,2019,Extreme heat,High,Medium,Increasing,Increasing,Immediately,Fluctuating socio-economic conditions; Increased risk to already vulnerable populations,Public health; Water supply & sanitation; Energy,Persons living in sub-standard housing; Persons with chronic diseases; Low-income households; Persons with disabilities; Elderly; Children & youth
Houston,2019,Flood and sea level rise,High,High,Increasing,Increasing,Immediately,Increased demand for public services; Increased demand for healthcare services; Increased resource demand; Increased risk to already vulnerable populations; Increased incidence and prevalence of disease and illness; Population displacement; Fluctuating socio-economic conditions,Public health; Emergency services; Food & agriculture; Transport; Waste management; Water supply & sanitation,Children & youth; Low-income households; Elderly; Marginalized groups; Women & girls; Persons living in sub-standard housing; Unemployed persons; Persons with chronic diseases; Persons with disabilities
Houston,2019,Storm and wind,High,High,Increasing,Increasing,Immediately,Increased demand for public services; Increased incidence and prevalence of disease and illness; Fluctuating socio-economic conditions; Increased demand for healthcare services; Increased risk to already vulnerable populations; Increased resource demand,Emergency services; Information & communications technology; Residential; Waste management; Public health; Energy; Transport,Persons with disabilities; Persons living in sub-standard housing; Low-income households; Elderly; Children & youth; Persons with chronic diseases
Houston,2019,Storm and wind,High,Medium High,Increasing,Increasing,Immediately,Increased demand for public services; Fluctuating socio-economic conditions; Increased risk to already vulnerable populations,Transport; Commercial; Water supply & sanitation; Waste management; Emergency services; Public health,"Children & youth; Other: Residential, commercial and industry could be impacted in the event of a storm surge; Elderly; Persons living in sub-standard housing; Persons with chronic diseases; Persons with disabilities; Low-income households"
Phoenix,2019,Extreme heat,High,Medium,Increasing,Increasing,Immediately,Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations,Residential; Energy; Water supply & sanitation; Public health,Elderly; Other; Persons living in sub-standard housing; Persons with chronic diseases; Persons with disabilities; Low-income households
Phoenix,2019,Biological hazards,Medium,Medium,Increasing,Increasing,Immediately,Increased demand for healthcare services; Increased resource demand; Increased risk to already vulnerable populations,"Food & agriculture; Public health; Environment, biodiversity, forestry",Elderly; Persons with chronic diseases; Persons with disabilities; Other
Phoenix,2019,Extreme heat,High,Medium,Increasing,Increasing,Immediately,Increased demand for healthcare services; Increased demand for public services; Increased resource demand; Increased risk to already vulnerable populations,Energy; Water supply & sanitation; Public health,Low-income households; Elderly; Unemployed persons; Children & youth; Marginalized groups; Other; Persons living in sub-standard housing; Persons with disabilities; Persons with chronic diseases
Phoenix,2019,Flood and sea level rise,High,Medium,Increasing,Increasing,Immediately,Increased incidence and prevalence of disease and illness; Increased demand for public services; Increased risk to already vulnerable populations,Commercial; Transport; Residential,Other; Persons living in sub-standard housing; Elderly; Low-income households; Unemployed persons
Phoenix,2019,Water Scarcity,High,Medium High,Increasing,Increasing,Short-term (by 2025),Increased risk to already vulnerable populations; Increased demand for public services; Increased demand for healthcare services,Energy; Water supply & sanitation; Emergency services; Food & agriculture,Low-income households; Unemployed persons; Children & youth; Persons living in sub-standard housing; Persons with chronic diseases; Marginalized groups; Elderly
Philadelphia,2019,Extreme heat,Medium Low,High,Increasing,Increasing,Immediately,Increased risk to already vulnerable populations; Increased demand for public services; Increased conflict and/or crime,Public health,Persons living in sub-standard housing; Children & youth; Low-income households; Elderly
Philadelphia,2019,Extreme cold,Medium Low,Medium,Increasing,Increasing,Immediately,Increased demand for public services,Public health; Transport; Emergency services,Elderly
Philadelphia,2019,Flood and sea level rise,Medium,Medium High,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services; Increased incidence and prevalence of disease and illness,Emergency services; Commercial; Residential,Persons living in sub-standard housing
Philadelphia,2019,Storm and wind,High,Medium High,Increasing,Increasing,Medium-term (2026-2050),Increased incidence and prevalence of disease and illness; Increased demand for public services,Residential; Transport; Emergency services; Commercial; Public health,Persons living in sub-standard housing
San Antonio,2019,Water Scarcity,High,High,Increasing,Increasing,N/A,Increased risk to already vulnerable populations; Increased demand for public services,Emergency services; Energy; Residential,Children & youth; Elderly; Low-income households
San Antonio,2019,Flood and sea level rise,High,High,Increasing,Increasing,N/A,Increased risk to already vulnerable populations,Residential; Transport; Emergency services,
San Antonio,2019,Storm and wind,Medium,Medium High,Increasing,Increasing,N/A,N/A,Emergency services; Energy; Transport,
San Antonio,2019,Biological hazards,High,High,Increasing,Increasing,N/A,N/A,Public health; Other; Water supply & sanitation,
San Antonio,2019,Extreme heat,High,High,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services; Increased risk to already vulnerable populations; Increased demand for healthcare services,Water supply & sanitation; Residential; Energy; Food & agriculture; Tourism; Public health; Commercial,Persons with disabilities; Children & youth; Low-income households; Persons with chronic diseases; Persons living in sub-standard housing; Elderly
Austin,2019,Water Scarcity,High,High,Increasing,Increasing,Immediately,Increased risk to already vulnerable populations; Increased demand for public services; Increased demand for healthcare services,"Transport; Environment, biodiversity, forestry; Energy; Water supply & sanitation; Public health; Emergency services",Marginalized groups; Low-income households; Persons living in sub-standard housing
Austin,2019,Flood and sea level rise,High,High,Increasing,Increasing,Immediately,Population displacement; Increased risk to already vulnerable populations; Increased demand for public services,Public health; Water supply & sanitation; Commercial; Residential; Information & communications technology; Emergency services,Persons living in sub-standard housing; Unemployed persons; Marginalized groups; Low-income households; Persons with disabilities
Austin,2019,Extreme heat,High,Medium,Increasing,Increasing,Immediately,Increased risk to already vulnerable populations; Fluctuating socio-economic conditions; Increased demand for healthcare services,Energy; Public health; Water supply & sanitation,Elderly; Persons with chronic diseases; Persons living in sub-standard housing; Persons with disabilities; Marginalized groups; Unemployed persons; Low-income households
Austin,2019,Wild fire,High,High,Increasing,Increasing,Immediately,Increased demand for healthcare services; Population displacement; Increased demand for public services,"Emergency services; Residential; Public health; Environment, biodiversity, forestry",Children & youth; Marginalized groups; Persons living in sub-standard housing; Persons with disabilities; Persons with chronic diseases; Elderly; Low-income households
Dallas,2019,Water Scarcity,Medium High,Medium High,Increasing,Increasing,Immediately,Increased risk to already vulnerable populations; Increased demand for public services,"Water supply & sanitation; Other: Drainage and Infrastructure; Environment, biodiversity, forestry; Public health",Marginalized groups; Low-income households; Persons living in sub-standard housing
Dallas,2019,Extreme heat,Medium High,Medium,Increasing,Increasing,Short-term (by 2025),Other: Increased Mortality; Increased incidence and prevalence of disease and illness; Increased demand for healthcare services; Increased resource demand,Public health; Residential; Water supply & sanitation; Transport,Marginalized groups; Persons living in sub-standard housing; Persons with chronic diseases; Low-income households
Dallas,2019,Biological hazards,Medium,Low,Increasing,Increasing,Short-term (by 2025),Increased demand for public services; Increased risk to already vulnerable populations; Increased incidence and prevalence of disease and illness,Emergency services; Public health; Residential,Elderly; Children & youth; Persons living in sub-standard housing; Low-income households
Dallas,2019,Flood and sea level rise,Medium High,Medium High,Increasing,Increasing,Immediately,Population displacement; Increased risk to already vulnerable populations; Other: Loss of Life; Increased demand for public services; Increased resource demand,"Water supply & sanitation; Other: Increased Mortality, Disruptions to Transportation and other infrastructure; Residential; Emergency services; Environment, biodiversity, forestry",Persons living in sub-standard housing; Other: Communities in low lying  areas.; Marginalized groups
Dallas,2019,Flood and sea level rise,Medium,Medium,Increasing,Increasing,Short-term (by 2025),Increased demand for public services; Increased demand for healthcare services; Increased risk to already vulnerable populations; Other: Transportation; Increased incidence and prevalence of disease and illness,"Residential; Environment, biodiversity, forestry; Emergency services; Water supply & sanitation",Other: Communities in low lying areas.; Marginalized groups; Persons living in sub-standard housing
San José,2019,Extreme heat,Medium High,Medium High,Increasing,Increasing,Immediately,Increased demand for public services; Increased resource demand; Increased risk to already vulnerable populations; Increased incidence and prevalence of disease and illness; Increased demand for healthcare services,"Environment, biodiversity, forestry; Residential; Energy",Marginalized groups; Elderly; Persons with chronic diseases; Low-income households; Children & youth; Persons living in sub-standard housing
San José,2019,Extreme heat,Medium High,Medium High,Increasing,Increasing,Immediately,Increased resource demand; Increased incidence and prevalence of disease and illness; Increased demand for healthcare services; Increased demand for public services; Increased risk to already vulnerable populations,"Residential; Energy; Environment, biodiversity, forestry",Marginalized groups; Elderly; Persons living in sub-standard housing; Persons with chronic diseases; Low-income households; Children & youth
San José,2019,Water Scarcity,High,High,Increasing,Increasing,Short-term (by 2025),Increased resource demand; Migration from rural areas to cities,"Environment, biodiversity, forestry; Residential; Water supply & sanitation",Marginalized groups; Low-income households
San José,2019,Flood and sea level rise,Medium High,Medium High,Increasing,Increasing,Short-term (by 2025),Population displacement,Residential; Transport; Commercial,Low-income households; Elderly; Persons living in sub-standard housing; Marginalized groups; Persons with disabilities
San José,2019,Flood and sea level rise,Medium,High,Increasing,Increasing,Short-term (by 2025),Population displacement; Increased risk to already vulnerable populations,Water supply & sanitation; Residential; Waste management,Persons living in sub-standard housing; Low-income households
Indianapolis,2019,Extreme Precipitation,High,Medium,Increasing,Increasing,Medium-term (2026-2050),Increased incidence and prevalence of disease and illness; Fluctuating socio-economic conditions; Increased risk to already vulnerable populations,Residential; Waste management; Food & agriculture; Water supply & sanitation; Transport; Public health,Low-income households; Persons with disabilities; Persons living in sub-standard housing; Elderly; Marginalized groups
Indianapolis,2019,Extreme heat,Medium,Medium,Increasing,Increasing,Medium-term (2026-2050),Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations; Increased conflict and/or crime; Increased resource demand,Residential; Public health; Food & agriculture; Energy,Persons living in sub-standard housing; Marginalized groups; Low-income households; Persons with disabilities; Elderly
Indianapolis,2019,Extreme heat,High,Medium Low,Increasing,Increasing,Medium-term (2026-2050),Increased risk to already vulnerable populations; Increased resource demand; Increased incidence and prevalence of disease and illness,Food & agriculture; Public health; Energy; Water supply & sanitation,Other; Persons with chronic diseases; Elderly; Children & youth
Indianapolis,2019,Extreme Precipitation,High,Medium High,Increasing,Increasing,Medium-term (2026-2050),Migration from rural areas to cities; Loss of traditional jobs,Transport; Food & agriculture; Water supply & sanitation,Low-income households; Persons living in sub-standard housing; Other
Indianapolis,2019,Storm and wind,Low,Do not know,Do not know,Do not know,Long-term (after 2050),Increased risk to already vulnerable populations,Residential; Information & communications technology; Public health,Other; Persons living in sub-standard housing; Persons with disabilities
Indianapolis,2019,Water Scarcity,Medium Low,Medium Low,Increasing,Increasing,Long-term (after 2050),Migration from rural areas to cities; Loss of traditional jobs; Increased resource demand; Increased demand for healthcare services; Increased demand for public services; Increased risk to already vulnerable populations,Public health; Food & agriculture; Water supply & sanitation; Commercial,Other; Persons living in sub-standard housing; Persons with chronic diseases; Low-income households
Columbus,2019,Flood and sea level rise,High,High,Increasing,Increasing,Medium-term (2026-2050),Increased incidence and prevalence of disease and illness; Increased demand for public services; Increased demand for healthcare services,Energy; Transport; Water supply & sanitation,Children & youth; Persons living in sub-standard housing; Unemployed persons; Elderly; Low-income households; Persons with disabilities
Columbus,2019,Flood and sea level rise,High,High,Increasing,Increasing,Medium-term (2026-2050),Increased demand for healthcare services; Increased incidence and prevalence of disease and illness,Water supply & sanitation; Transport; Energy,Elderly; Persons living in sub-standard housing; Persons with chronic diseases; Marginalized groups; Low-income households
Columbus,2019,Extreme Precipitation,High,High,Increasing,Increasing,Short-term (by 2025),Increased demand for public services; Fluctuating socio-economic conditions,Energy; Water supply & sanitation; Transport,Low-income households; Persons living in sub-standard housing; Persons with chronic diseases; Other: Those employed by the agricultural sector
Columbus,2019,Extreme heat,Medium High,Medium High,Increasing,Increasing,Short-term (by 2025),Increased risk to already vulnerable populations; Increased incidence and prevalence of disease and illness; Increased demand for healthcare services; Increased demand for public services,Public health; Emergency services; Water supply & sanitation,Low-income households; Persons living in sub-standard housing; Children & youth; Elderly
Columbus,2019,Extreme heat,Medium,High,Increasing,Increasing,Medium-term (2026-2050),Fluctuating socio-economic conditions; Increased risk to already vulnerable populations; Increased resource demand; Increased demand for healthcare services; Increased incidence and prevalence of disease and illness,Food & agriculture; Water supply & sanitation; Public health,Persons living in sub-standard housing; Elderly; Low-income households; Children & youth
Columbus,2019,Biological hazards,Medium,High,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services; Increased incidence and prevalence of disease and illness,Residential; Water supply & sanitation; Public health,Children & youth; Elderly; Persons with chronic diseases
Charlotte,2019,Extreme heat,Medium High,High,Increasing,Increasing,N/A,N/A,Emergency services; Residential; Water supply & sanitation,
Charlotte,2019,Flood and sea level rise,Medium,Medium High,Increasing,Increasing,N/A,N/A,Energy; Emergency services; Transport,
Charlotte,2019,Chemical change,Medium High,High,Increasing,Increasing,N/A,N/A,Food & agriculture; Public health; Energy,
Portland,2019,Extreme heat,High,Medium High,Increasing,Increasing,Immediately,Increased demand for healthcare services; Increased risk to already vulnerable populations; Increased demand for public services; Increased incidence and prevalence of disease and illness,Public health; Society / community & culture; Transport,Persons living in sub-standard housing; Elderly; Persons with disabilities; Children & youth; Other: People who work outdoors; Low-income households; Indigenous population; Persons with chronic diseases; Unemployed persons; Marginalized groups
Portland,2019,Mass movement,High,Medium,Increasing,Increasing,Short-term (by 2025),Population displacement,Emergency services; Residential; Transport,Low-income households; Marginalized groups
Portland,2019,Flood and sea level rise,High,Medium High,Increasing,Increasing,Immediately,Increased risk to already vulnerable populations; Population displacement; Increased incidence and prevalence of disease and illness; Fluctuating socio-economic conditions; Increased demand for healthcare services; Increased demand for public services,Residential; Transport; Emergency services,Indigenous population; Persons with disabilities; Persons living in sub-standard housing; Low-income households
Portland,2019,Wild fire,Medium High,High,Increasing,Increasing,Short-term (by 2025),Fluctuating socio-economic conditions; Increased risk to already vulnerable populations,Emergency services; Residential; Public health,Persons with disabilities; Marginalized groups; Persons with chronic diseases; Elderly; Low-income households
San Francisco,2019,Flood and sea level rise,Medium High,High,Increasing,Increasing,N/A,N/A,N/A,N/A
San Francisco,2019,Water Scarcity,Medium,Medium Low,Increasing,Increasing,N/A,N/A,N/A,N/A
San Francisco,2019,Extreme heat,High,Medium,Increasing,Increasing,N/A,N/A,N/A,N/A
San Francisco,2019,Extreme Precipitation,Medium,Medium High,Increasing,Decreasing,N/A,N/A,N/A,N/A
San Francisco,2019,Chemical change,Medium High,High,Do not know,Do not know,N/A,N/A,N/A,N/A
San Francisco,2019,Flood and sea level rise,High,Medium,Increasing,Increasing,N/A,N/A,N/A,N/A
San Francisco,2019,Extreme heat,Medium High,High,Increasing,Increasing,N/A,N/A,N/A,N/A
San Francisco,2019,Wild fire,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Seattle,2019,Extreme heat,High,Medium,Increasing,Increasing,N/A,Increased risk to already vulnerable populations; Increased incidence and prevalence of disease and illness; Increased demand for healthcare services,N/A,Marginalized groups; Elderly; Persons with disabilities; Low-income households; Other; Children & youth; Persons living in sub-standard housing; Persons with chronic diseases; Indigenous population
