city,CDP_response_year,most_sig_hazard,probability,magnitude,expected_intensity_change,expected_frequency_change,timeframe_expected_change,social_impact,assets_services_affected,vulnerable_populations
New York,2021,Extreme Precipitation,Medium High,Medium,Increasing,Increasing,Immediately,Fluctuating socio-economic conditions; Increased resource demand; Population displacement; Increased demand for public services,Residential; Public health; Water supply & sanitation,Unemployed persons; Marginalized groups; Elderly; Persons living in sub-standard housing; Low-income households; Persons with chronic diseases; Children & youth; Persons with disabilities
New York,2021,Extreme cold,Medium,Medium,Do not know,Do not know,Immediately,Increased resource demand; Increased risk to already vulnerable populations; Increased demand for public services; Increased demand for healthcare services,Energy; Public health; Transport,Elderly; Persons living in sub-standard housing; Marginalized groups; Persons with chronic diseases; Children & youth; Low-income households; Unemployed persons; Persons with disabilities
New York,2021,Extreme heat,High,High,Increasing,Increasing,Immediately,Population displacement; Increased incidence and prevalence of disease and illness; Increased resource demand; Increased demand for healthcare services; Increased conflict and/or crime; Increased risk to already vulnerable populations; Fluctuating socio-economic conditions; Increased demand for public services,Energy; Public health; Information & communications technology,Persons living in sub-standard housing; Elderly; Persons with disabilities; Unemployed persons; Low-income households; Persons with chronic diseases; Children & youth; Marginalized groups
New York,2021,Extreme heat,High,High,Increasing,Increasing,Immediately,Loss of traditional jobs; Increased demand for public services; Increased resource demand; Fluctuating socio-economic conditions; Increased risk to already vulnerable populations; Loss of tax base to support public services; Increased demand for healthcare services; Population displacement,Transport; Water supply & sanitation; Energy,Elderly; Marginalized groups; Unemployed persons; Persons with disabilities; Low-income households; Persons living in sub-standard housing; Children & youth; Persons with chronic diseases
New York,2021,Flood and sea level rise,Medium High,Medium,Increasing,Increasing,Short-term (by 2025),Increased risk to already vulnerable populations; Fluctuating socio-economic conditions; Loss of tax base to support public services; Population displacement; Increased resource demand; Increased demand for public services,Commercial; Public health; Residential,Marginalized groups; Children & youth; Persons with chronic diseases; Unemployed persons; Low-income households; Persons living in sub-standard housing; Persons with disabilities; Women & girls; Elderly
Los Angeles,2021,Extreme Precipitation,High,High,Increasing,Do not know,Medium-term (2026-2050),Increased demand for public services,"Tourism; Water supply & sanitation; Emergency services; Environment, biodiversity, forestry; Land use planning",
Los Angeles,2021,Extreme heat,High,Medium High,Increasing,Increasing,Short-term (by 2025),Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations; Increased demand for public services; Increased demand for healthcare services,"Energy; Water supply & sanitation; Environment, biodiversity, forestry; Transport; Public health",
Los Angeles,2021,Water Scarcity,High,High,Increasing,Increasing,Medium-term (2026-2050),N/A,"Environment, biodiversity, forestry; Public health; Water supply & sanitation",
Los Angeles,2021,Wild fire,Medium High,Medium High,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services,"Environment, biodiversity, forestry; Public health",
Los Angeles,2021,Flood and sea level rise,Medium High,Medium High,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services,"Emergency services; Environment, biodiversity, forestry; Water supply & sanitation",
Los Angeles,2021,Flood and sea level rise,Medium High,Medium High,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services,"Environment, biodiversity, forestry; Land use planning; Water supply & sanitation",Elderly; Low-income households; Children & youth
Chicago,2021,Flood and sea level rise,Medium High,Medium High,Increasing,Increasing,Immediately,Increased incidence and prevalence of disease and illness; Increased demand for healthcare services; Increased conflict and/or crime; Fluctuating socio-economic conditions; Increased demand for public services; Increased risk to already vulnerable populations,Transport; Residential; Commercial,Children & youth; Low-income households; Marginalized groups; Elderly; Persons living in sub-standard housing; Persons with disabilities
Chicago,2021,Flood and sea level rise,Low,Medium,Increasing,Increasing,Immediately,Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations; Increased demand for healthcare services; Increased demand for public services; Increased conflict and/or crime; Population displacement; Fluctuating socio-economic conditions,Commercial; Residential; Public health,Low-income households; Persons with disabilities; Children & youth; Marginalized groups; Elderly; Persons living in sub-standard housing
Chicago,2021,Extreme heat,Medium High,Medium Low,Increasing,Increasing,Immediately,Increased conflict and/or crime; Increased incidence and prevalence of disease and illness; Increased resource demand; Fluctuating socio-economic conditions; Population displacement,"Emergency services; Other, please specify; Energy; Public health",Persons with chronic diseases; Low-income households; Marginalized groups; Persons with disabilities; Persons living in sub-standard housing; Unemployed persons; Elderly
Chicago,2021,Extreme Precipitation,Medium High,Medium High,Increasing,Increasing,Immediately,Increased risk to already vulnerable populations; Increased demand for healthcare services; Fluctuating socio-economic conditions; Increased demand for public services; Increased incidence and prevalence of disease and illness,Water supply & sanitation; Commercial; Residential,Elderly; Unemployed persons; Low-income households; Marginalized groups; Persons living in sub-standard housing
